date,amount,category,description
20-07-2024,125.65,Income,Salary
01-01-2024,24.5,income,food
02-01-2024,25.8,expense,groccery
15-02-2024,200.0,Income,Freelance
20-02-2024,50.0,Expense,Transport
05-03-2024,30.75,Expense,Utilities
10-03-2024,75.0,Income,Gift
15-03-2024,12.5,Expense,Snacks
18-03-2024,45.9,Expense,Medicine
01-04-2024,500.0,Income,Salary
10-04-2024,20.0,Expense,Stationery
25-04-2024,100.5,Expense,Restaurant
01-05-2024,300.0,Income,Investment
15-05-2024,40.75,Expense,Pet Care
20-05-2024,60.0,Expense,Groceries
05-06-2024,100.0,Income,Freelance
15-06-2024,25.0,Expense,Movies
01-07-2024,150.0,Income,Bonus
10-07-2024,70.0,Expense,Shopping
15-07-2024,18.9,Expense,Coffee
01-08-2024,500.0,Income,Salary
05-08-2024,20.0,Expense,Books
10-08-2024,80.0,Expense,Gas
20-08-2024,120.0,Income,Consulting
01-09-2024,100.0,Income,Investment
15-09-2024,55.0,Expense,Clothing
25-09-2024,75.5,Expense,Entertainment
01-10-2024,600.0,Income,Salary
10-10-2024,40.0,Expense,Travel
15-10-2024,30.0,Expense,Gym
20-10-2024,85.5,Income,Rental
01-11-2024,500.0,Income,Salary
05-11-2024,15.0,Expense,Subscriptions
10-11-2024,65.0,Expense,Groceries
20-11-2024,200.0,Income,Freelance
01-12-2024,75.0,Expense,Insurance
15-12-2024,45.0,Expense,Household
20-12-2024,150.0,Income,Gift